DateTime,SType,Tension,Frequency,MainString,CrossString,FaceSize,Pattern
20200222152411,T,59-64,693.0226293103448,SOHG115,,100,18-16
20200222152416,T,59-64,692.0325969827586,SOHG115,,100,18-16
20200222163537,T,45,620.2552532327586,GOAKP16,YOPTF120,98,16-19
20200222163539,T,45,619.2652209051724,GOAKP16,YOPTF120,98,16-19
20200227193222,T,40,561.3483297413793,ZZP120,BAXCEL125,100,16-19
20200227193226,T,40,560.8533135775862,ZZP120,BAXCEL125,100,16-19
20200228193219,T,43,544.5177801724137,ZZP125,,98,16-19
20200228193221,T,43,546.002828663793,ZZP125,,98,16-19
20200229180915,T,52,600.9496228448276,LUARUPR125,,98,16-19
20200229180917,T,52,601.9396551724137,LUARUPR125,,98,16-19
20200229185630,T,48-50,583.1290409482758,YOPTST125,,100,16-19
20200229185632,T,48-50,583.624057112069,YOPTST125,,100,16-19
20200304200209,T,42,584.1190732758621,GOMS16,,100,14-18
20200304200211,T,42,586.0991379310344,GOMS16,,100,14-18
20200305165743,T,48,548.4779094827586,BABLAST130,,100,16-19
20200305165745,T,48,548.9729256465517,BABLAST130,,100,16-19
20200305195948,T,48,546.9928609913793,BABLAST130,,100,16-19
20200305195950,T,48,547.9828933189655,BABLAST130,,100,16-19
20200306163718,T,46,625.2054148706897,SOHG115,,100,16-19
20200306163720,T,46,626.690463362069,SOHG115,,100,16-19
20200306190110,T,42,609.8599137931034,TFXR3125,,100,16-20
20200306190113,T,42,610.3549299568965,TFXR3125,,100,16-20
20200306195536,T,47,629.1655441810344,TFXONE124,,98,18-16
20200306195538,T,47,629.6605603448276,TFXONE124,,98,18-16
20200307150614,T,40,584.1190732758621,SOHG115,,98,16-19
20200307150616,T,40,582.6340247844827,SOHG115,,98,16-19
20200309193928,T,45,595.5044450431034,YOPTF120,,100,16-19
20200309193931,T,45,594.5144127155172,YOPTF120,,100,16-19
20200311181026,T,48,545.5078125,ZZP125,,100,16-19
20200311181028,T,48,545.0127963362069,ZZP125,,100,16-19
20200311202517,T,48,579.168911637931,ZZP125,,98,16-19
20200311202519,T,48,580.1589439655172,ZZP125,,98,16-19
20200314165150,T,50-47,618.7702047413793,SOHG115,,100,16-19
20200314165152,T,50-47,617.28515625,SOHG115,,100,16-19
20200314182534,T,40,583.624057112069,TFXR3125,,102,16-19
20200314182536,T,40,583.1290409482758,TFXR3125,,102,16-19
20200316164638,T,50,669.756869612069,TFSG125,,100,16-19
20200316164640,T,50,668.7668372844827,TFSG125,,100,16-19
20200316202550,T,38,581.1489762931034,SOHG115,,93,18-20
20200316202552,T,38,581.6439924568965,SOHG115,,93,18-20
20200317192310,T,47,638.5708512931034,BAXCEL125,,100,16-19
20200317192312,T,47,637.5808189655172,BAXCEL125,,100,16-19
20200318172916,T,52-50,572.2386853448276,YOPTP125,,100,16-19
20200318172918,T,52-50,572.7337015086207,YOPTP125,,100,16-19
20200318193937,T,58,624.2153825431034,ZZP130,,100,16-19
20200318193939,T,58,624.7103987068965,ZZP130,,100,16-19
20200318203140,T,48,558.3782327586207,ZZP130,,100,16-19
20200318203144,T,48,558.3782327586207,ZZP130,,100,16-19
20200319165447,T,55,611.3449622844827,ZZP130,,100,16-19
20200319165450,T,55,611.3449622844827,ZZP130,,100,16-19
20200321160234,T,50,633.1256734913793,GOMS16,,100,16-19
20200321160236,T,50,633.6206896551723,GOMS16,,100,16-19
20200321165523,T,50,643.0259967672414,GOMS16,,100,16-19
20200321165525,T,50,643.5210129310344,GOMS16,,100,16-19
20200321174203,T,50,576.6938308189655,BABLAST125,,98,16-19
20200321174205,T,50,575.2087823275862,BABLAST125,,98,16-19
20200321185333,T,48,615.8001077586207,BAVSTEAM125,,100,16-19
20200321185336,T,48,615.3050915948276,BAVSTEAM125,,100,16-19
20200323164422,T,58,702.4279364224137,TFSG125,,100,16-19
20200323164424,T,58,702.9229525862069,TFSG125,,100,16-19
20200323195558,T,45,602.9296875,GOTG16,,97,16-20
20200323195600,T,45,601.4446390086207,GOTG16,,97,16-20
20200324200905,T,45,604.4147359913793,GOTG16,,100,16-19
20200324200907,T,45,604.4147359913793,GOTG16,,100,16-19
20200325193346,T,45,624.7103987068965,GOAKP16,,100,16-19
20200325193348,T,45,626.690463362069,GOAKP16,,100,16-19
20200328151840,T,46,561.8433459051724,BAADC130,,115,16-20
20200328151842,T,46,560.8533135775862,BAADC130,,115,16-20
20200328191004,T,52,608.8698814655172,BAVSTEAM125,,110,16-20
20200328191008,T,52,608.3748653017241,BAVSTEAM125,,110,16-20
20200402181724,T,46,547.4878771551724,BABLAST125,,100,16-19
20200402181726,T,46,546.9928609913793,BABLAST125,,100,16-19
20200408175432,T,54-52,584.6140894396551,BABLAST130,YOPTP125,100,16-19
20200408175434,T,54-52,584.6140894396551,BABLAST130,YOPTP125,100,16-19
20200409190517,T,40,558.3782327586207,YOPTF120,,98,16-19
20200409190519,T,40,554.913119612069,YOPTF120,,98,16-19
20200530125524,T,50,656.8864493534483,BAXCEL125,,100,16-19
20200530125526,T,50,656.8864493534483,BAXCEL125,,100,16-19
20200601174142,T,40,507.8865840517241,LUARUPR125,,100,16-19
20200601174144,T,40,508.3816002155172,LUARUPR125,,100,16-19
20200601192944,T,47,554.4181034482758,BABLAST130,,100,16-19
20200601192946,T,47,552.9330549568965,BABLAST130,,100,16-19
20200601202234,T,52,595.0094288793103,LUARUPR125,,100,16-20
20200601202236,T,52,595.0094288793103,LUARUPR125,,100,16-20
20200602181334,T,50,647.9761584051723,TFXR3125,,100,16-19
20200602181336,T,50,649.4612068965517,TFXR3125,,100,16-19
20200602194138,T,60-56,631.1456088362069,ZZP125,,95,16-19
20200602194140,T,60-56,629.6605603448276,ZZP125,,95,16-19
20200603164755,T,60-56,623.7203663793103,ZZP125,,95,16-19
20200603164757,T,60-56,622.7303340517241,ZZP125,,95,16-19
20200603182254,T,60-56,625.7004310344827,ZZP125,,95,16-19
20200603182256,T,60-56,625.7004310344827,ZZP125,,95,16-19
20200603192535,T,60-56,619.2652209051724,ZZP125,,95,16-19
20200603192537,T,60-56,619.2652209051724,ZZP125,,95,16-19
20200604163213,T,55-53,638.0758351293103,BAXCEL125,,108,16-19
20200604163215,T,55-53,639.0658674568965,BAXCEL125,,108,16-19
20200604180519,T,47,629.6605603448276,SOHG115,,100,16-19
20200604180521,T,47,630.1555765086207,SOHG115,,100,16-19
20200604195118,T,40-38,545.5078125,TFXONE124,LUARUPR125,97,16-19
20200604195120,T,40-38,544.5177801724137,TFXONE124,LUARUPR125,97,16-19
20200605161937,T,45,575.2087823275862,ZZP120,,98,16-19
20200605161939,T,45,575.7037984913793,ZZP120,,98,16-19
20200605172939,T,45,596.9894935344827,GOTG16,,100,16-20
20200605172941,T,45,596.9894935344827,GOTG16,,100,16-20
20200605183009,T,46,517.291891163793,YOPTF120,,115,16-18
20200605183011,T,46,517.291891163793,YOPTF120,,115,16-18
20200606161501,T,45,607.879849137931,GOTG16,,95,16-20
20200606161503,T,45,605.4047683189655,GOTG16,,95,16-20
20200606173114,T,50,575.2087823275862,BABLAST125,,98,16-20
20200606173116,T,50,575.2087823275862,BABLAST125,,98,16-20
20200606181557,T,52,615.3050915948276,BAADC130,,105,16-15
20200606181600,T,52,615.8001077586207,BAADC130,,105,16-15
20200609180447,T,50,576.1988146551724,BABLAST125,,98,16-19
20200609180450,T,50,575.7037984913793,BABLAST125,,98,16-19
20200609200719,T,45,630.6505926724137,GOMS16,,97,16-19
20200609200721,T,45,629.6605603448276,GOMS16,,97,16-19
20200610180843,T,57-55,667.2817887931034,ZZP125,ZZN130,97,16-19
20200610180845,T,57-55,670.2518857758621,ZZP125,ZZN130,97,16-19
20200610192147,T,57-55,623.7203663793103,ZZP125,ZZN130,100,16-19
20200610192150,T,57-55,625.7004310344827,ZZP125,ZZN130,100,16-19
20200611163619,T,50,607.3848329741379,TFXONE124,BABLAST125,100,16-19
20200611163621,T,50,609.3648976293103,TFXONE124,BABLAST125,100,16-19
20200611172549,T,51,612.8300107758621,TFXONE124,BABLAST125,100,16-19
20200611172551,T,51,611.8399784482758,TFXONE124,BABLAST125,100,16-19
20200611191741,T,58,637.5808189655172,ZZP125,,97,16-19
20200611191744,T,58,636.590786637931,ZZP125,,97,16-19
20200612172320,T,50,595.5044450431034,TFXONE124,BABLAST125,100,16-19
20200612172322,T,50,594.5144127155172,TFXONE124,BABLAST125,100,16-19
20200612182504,T,48-50,579.168911637931,YOPTST125,,100,16-19
20200612182506,T,48-50,577.6838631465517,YOPTST125,,100,16-19
20200612195240,T,48,637.0858028017241,TFXR3125,,100,16-19
20200612195242,T,48,638.5708512931034,TFXR3125,,100,16-19
20200615163918,T,45,631.640625,BAXCEL125,,97,18-16
20200615163920,T,45,630.6505926724137,BAXCEL125,,97,18-16
20200616184533,T,50,574.21875,LUARUPR125,,98,18-20
20200616184536,T,50,572.7337015086207,LUARUPR125,,98,18-20
20200616193753,T,40,526.202182112069,ZZP125,,95,16-20
20200616193755,T,40,523.2320851293103,ZZP125,,95,16-20
20200618193332,T,49,627.1854795258621,BAXCEL125,,102,16-19
20200618193334,T,49,628.6705280172414,BAXCEL125,,102,16-19
20200620155733,T,45,617.28515625,BAXCEL125,,100,16-19
20200620155735,T,45,619.7602370689655,BAXCEL125,,100,16-19
20200623202026,T,50-48,606.3948006465517,YOPTF120,YOPTF120,100,16-19
20200623202028,T,50-48,607.3848329741379,YOPTF120,YOPTF120,100,16-19
20200624181042,T,55,685.1023706896551,TFSG125,,100,16-19
20200624181045,T,55,687.0824353448276,TFSG125,,100,16-19
20200624190324,T,50,633.6206896551723,ZZN130,,97,18-17
20200624190327,T,50,635.1057381465517,ZZN130,,97,18-17
20200624195645,T,52,642.0359644396551,TFXR3125,,107,16-19
20200624195647,T,52,645.5010775862069,TFXR3125,,107,16-19
20200625165117,T,50,595.0094288793103,TFXONE124,,118,18-19
20200625165119,T,50,595.5044450431034,TFXONE124,,118,18-19
20200626193407,T,46,567.2885237068965,YOPTF120,,105,16-19
20200626193409,T,46,565.8034752155172,YOPTF120,,105,16-19
20200627152110,T,55,687.5774515086207,ZZN130,,98,16-19
20200627152113,T,55,689.0625,ZZN130,,98,16-19
20200627164001,T,52,583.1290409482758,BABLAST125,,100,16-19
20200627164004,T,52,582.6340247844827,BABLAST125,,100,16-19
20200627172236,T,52,629.1655441810344,BAADC130,,100,16-19
20200627172238,T,52,628.1755118534483,BAADC130,,100,16-19
20200627175725,T,52,633.1256734913793,BAADC130,,100,16-19
20200627175728,T,52,634.6107219827586,BAADC130,,100,16-19
20200629165217,T,48-52,629.6605603448276,BAADC130,,100,18-16
20200629165219,T,48-52,630.1555765086207,BAADC130,,100,18-16
20200630195435,T,48-52,621.2452855603448,BAADC130,,100,18-16
20200630195437,T,48-52,622.235317887931,BAADC130,,100,18-16
20200701173811,T,45,599.9595905172414,GOMS16,,103,16-19
20200701173813,T,45,602.9296875,GOMS16,,103,16-19
20200701190748,T,45,609.3648976293103,TFXONE124,,98,16-19
20200701190750,T,45,610.3549299568965,TFXONE124,,98,16-19
20200707183720,T,52,659.5,TFXONE124,,100,16-19
20200707183722,T,52,659.5,TFXONE124,,100,16-19
20200707193745,T,50,652.0,TFXONE124,,98,18-20
20200707193748,T,50,656.0,TFXONE124,,98,18-20
20200708175449,T,50,613.5,TFXONE124,LUARUPR125,98,18-20
20200708175452,T,50,614.0,TFXONE124,LUARUPR125,98,18-20
20200708183923,T,50,664.0,TFSG125,,102,16-19
20200708183927,T,50,665.5,TFSG125,,102,16-19
20200708193433,T,47,599.5,TFXONE124,,115,16-19
20200708193435,T,47,598.0,TFXONE124,,115,16-19
20200709201657,T,45,600.0,TFXONE124,,98,16-19
20200709201700,T,45,600.0,TFXONE124,,98,16-19
20200710163739,T,45,539.5,LUARUPR125,,100,16-19
20200710163742,T,45,537.5,LUARUPR125,,100,16-19
20200711155452,T,60,733.0,GOMS16,,97,16-19
20200711155454,T,60,733.5,GOMS16,,97,16-19
20200713165143,T,45,617.5,TFXR3125,,100,16-19
20200713165146,T,45,617.5,TFXR3125,,100,16-19
20200713193010,T,55-59,667.0,SOHG115,,100,18-16
20200713193013,T,55-59,667.0,SOHG115,,100,18-16
20200713200831,T,50,603.0,GOMS16,,115,16-19
20200713200834,T,50,603.0,GOMS16,,115,16-19
20200714192058,T,50,583.5,ZZN130,,113,16-19
20200714192100,T,50,584.0,ZZN130,,113,16-19
20200715180608,T,53,602.0,ZZP125,,97,18-17
20200715180611,T,53,604.5,ZZP125,,97,18-17
20200715190321,T,53-51,592.0,ZZP125,ZZN130,107,16-18
20200715190323,T,53-51,593.0,ZZP125,ZZN130,107,16-18
20200715195418,T,40,506.0,ZZP125,,100,16-18
20200715195421,T,40,508.0,ZZP125,,100,16-18
20200716191535,T,47,615.0,TFXONE124,,110,16-19
20200716191538,T,47,609.5,TFXONE124,,110,16-19
20200716201755,T,58,675.0,GOAKP16,,104,18-19
20200716201757,T,58,674.5,GOAKP16,,104,18-19
20200720164733,T,48,607.0,BAVSTEAM125,,100,16-19
20200720164735,T,48,607.0,BAVSTEAM125,,100,16-19
20200720193810,T,55-52,726.0,GOAKP17,,98,16-19
20200720193813,T,55-52,724.5,GOAKP17,,98,16-19
20200720202148,T,52,591.5,LUARUP125,,98,16-19
20200720202150,T,52,591.0,LUARUP125,,98,16-19
20200721181117,T,52,592.0,LUARUP125,,98,16-19
20200721181120,T,52,584.5,LUARUP125,,98,16-19
20200721192209,T,53,625.5,BAADC130,,100,16-18
20200721192212,T,53,626.5,BAADC130,,100,16-18
